symbol,name,exchange,asset_class,status,tradable,fractionable,shortable,marginable,easy_to_borrow
AAL,American Airlines Group Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AAOI,"Applied Optoelectronics, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AAON,"AAON, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AAPL,Apple Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,us_equity,active,True,True,True,True,True
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,us_equity,active,True,True,True,True,True
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ABL,"Abacus Global Management, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ABNB,"Airbnb, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ABUS,Arbutus Biopharma Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ABVX,Abivax SA American Depositary Shares,NASDAQ,us_equity,active,True,True,True,True,True
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACDC,ProFrac Holding Corp. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACHC,"Acadia Healthcare Company, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACIC,American Coastal Insurance Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACIW,"ACI Worldwide, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACLS,"Axcelis Technologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACLX,"Arcellx, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACMR,"ACM Research, Inc. Class A Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACNB,ACNB Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACT,"Enact Holdings, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ACWI,iShares MSCI ACWI ETF,NASDAQ,us_equity,active,True,True,True,True,True
ACWX,iShares MSCI ACWI ex US ETF,NASDAQ,us_equity,active,True,True,True,True,True
ADAM,"Adamas Trust, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ADBE,Adobe Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADEA,Adeia Inc. Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADI,"Analog Devices, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ADMA,ADMA Biologics Inc Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADP,"Automatic Data Processing, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ADPT,Adaptive Biotechnologies Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADSK,"Autodesk, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ADTN,"ADTRAN Holdings, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
ADUS,Addus HomeCare Corporation Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADV,Advantage Solutions Inc. Class A Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
ADVM,"Adverum Biotechnologies, Inc. Common Stock",NASDAQ,us_equity,active,True,True,True,True,True
AEHR,Aehr Test Systems Common Stock,NASDAQ,us_equity,active,True,True,True,True,True
