ticker,have_days,first_day,last_day,lookback_days,generated_at
AXIA.PR,1,2025-11-14,2025-11-14,120,2025-11-17T17:07:12.525512Z
SOLS,19,2025-10-22,2025-11-17,120,2025-11-17T17:07:12.525512Z
KLAR,48,2025-09-11,2025-11-17,120,2025-11-17T17:07:12.525512Z
BLSH,67,2025-08-14,2025-11-17,120,2025-11-17T17:07:12.525512Z
PSKY,71,2025-08-08,2025-11-17,120,2025-11-17T17:07:12.525512Z
ACNB,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AFCG,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AGM,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ALTI,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ALX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AMSF,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AROW,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ARTNA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ASA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ASPS,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AVNW,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
AX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BATRA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BBCP,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BCML,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BEAG,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BF.A,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BFIN,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BGR,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BGRN,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BMRC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BNT,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BSCP,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BSET,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BSRR,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BSVN,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BTF,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
BXC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CAPL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CATH,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CCBG,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CENT,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CLFD,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CMSD,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CRAI,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CREX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CTBI,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CWEN.A,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
CZNC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
DCOM,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
DHIL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
DLTH,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
DMRC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
DMXF,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
EEX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ELPC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ESPO,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
EWJV,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FBIZ,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FCBC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FEX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FMBH,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FNLC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FNX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FRPH,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FSBC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FSTR,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FSV,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FTXR,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
FWONA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
GATX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
GOCO,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
GRBK,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
GRC,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
HBT,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
HNDL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
HTB,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
HY,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
IMCV,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
IMKTA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
INBK,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
IPKW,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
IRMD,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ISHG,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
ISTB,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
IVAL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
JILL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
KBWR,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
KEN,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
KOSS,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
LBRDA,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
LEN.B,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
LVHD,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MBUU,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MCBS,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MMI,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MMKT,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MPB,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MPX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MSGS,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MTRN,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MTX,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
MVBF,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
NEU,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
NL,83,2025-07-22,2025-11-14,120,2025-11-17T17:07:12.525512Z
