ticker,have_days,first_day,last_day,lookback_days,generated_at
AXIA.PR,1,2025-11-14,2025-11-14,180,2025-11-17T17:19:17.959501Z
SOLS,19,2025-10-22,2025-11-17,180,2025-11-17T17:19:17.959501Z
KLAR,48,2025-09-11,2025-11-17,180,2025-11-17T17:19:17.959501Z
BLSH,67,2025-08-14,2025-11-17,180,2025-11-17T17:19:17.959501Z
PSKY,71,2025-08-08,2025-11-17,180,2025-11-17T17:19:17.959501Z
ACNB,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AFCG,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AGM,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
ALTI,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
ALX,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AMSF,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AROW,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
ARTNA,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
ASA,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
ASPS,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AVNW,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
AX,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BATRA,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BBCP,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BCML,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BEAG,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BF.A,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BFIN,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BGR,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BGRN,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BMRC,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
BNT,83,2025-07-22,2025-11-14,180,2025-11-17T17:19:17.959501Z
