ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
AXIA.PR,1,2,1,true,2025-11-14,2025-11-14,180,2025-11-17T17:39:34.576555Z
SOLS,19,19,0,true,2025-10-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
KLAR,48,48,0,true,2025-09-11,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLSH,67,68,1,true,2025-08-14,2025-11-17,180,2025-11-17T17:39:34.576555Z
PSKY,71,72,1,true,2025-08-08,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARGX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARHS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARKO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARLO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARLP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARMK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AROC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARQ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARQT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARRY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARVN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARW,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ARWR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASAN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASGN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASIX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASLE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASML,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASND,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASPI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASPN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASTE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASTH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASTL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASTS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASUR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ASX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATAI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATAT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATEC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATEN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATEX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATGE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATHA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATHM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATKR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATLC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATMU,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATNI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATRA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATRC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATRO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATUS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
ATXS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AU,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUDC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUNA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUPH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AURA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AUTL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVAH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVAV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVB,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVBP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVDL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVGO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVIR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVNS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVNT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVPT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVTR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AVY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AWI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AWK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AWR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXGN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXIA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXON,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXSM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXTA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
AXTI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
