ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
AXIA.PR,1,2,1,true,2025-11-14,2025-11-14,180,2025-11-17T19:21:48.807677Z
SOLS,19,19,0,true,2025-10-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
KLAR,48,48,0,true,2025-09-11,2025-11-17,180,2025-11-17T19:21:48.807677Z
BLSH,67,68,1,true,2025-08-14,2025-11-17,180,2025-11-17T19:21:48.807677Z
PSKY,71,72,1,true,2025-08-08,2025-11-17,180,2025-11-17T19:21:48.807677Z
IAS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IBIT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IBRX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
ICLN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IEF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IEI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IGF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IGIC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IHS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IIIV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IMA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IMCR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IMNM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IMTX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INBX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INDI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INDV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INFA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INGM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INNV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INSP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INTA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INTR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INVX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
INVZ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IONQ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IOT,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IREN,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IRON,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
IUSV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JAMF,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JANX,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JBI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JBS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
JBTM,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T19:21:48.807677Z
